index,cafe,review,친절해요,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,매장이 청결해요,음료가 맛있어요,대화하기 좋아요,사진이 잘 나와요,뷰가 좋아요,가성비가 좋아요,집중하기 좋아요
3699,라프레플루트,비싸다 생각했는데 먹어보니 안비싸요 빙수 케익 둘다 너무 맛있었어요 테이블링으로 대기신청하면 내 순서 알려주니 기다리는 동안 편하게 서울숲에서 산책하고 그래서 먹어서 더 맛있었으려나요,0,0,0,1,0,0,0,0,0,0,0
1365,서촌금상고로케,와사비 양배추맛 맛있어요 양배추가 아삭거리고 많이 들어가서 감자랑 어울리는 맛이에요 모짜도 치즈따듯하게 녹아내리는 맛이라 서 같이 먹으면 궁합 맛쪄요 양도 많고 덥다고 얼음물도 주셨어요 최고에요,0,0,0,1,0,0,0,0,0,0,0
386,TIMT,카페 분위기가 너무 좋고 인테리어를 감성적으로 잘 해놓은 곳 무엇보다 사장님이 너무 친절하셔서 다음에 이 쪽 근방 놀러오면 재방문의사 무조건 있음 카페 음료도 맛있어요,1,0,1,0,0,1,0,0,0,0,0
32,효자베이커리,콘브래드가 왜 베스트 위 템인지 한 입 먹자마자 납득이 딱 갑니다 고로케같은데 빵부분은 카스테라마냥 부드럽고 고로케라고하기엔 느끼하지 않은 내용물 증말 또 먹고싶네요 옛날호두타르트는 직원분 추천 받아서 샀는데 호두토핑이 넉넉하니 맛있었어요,0,0,0,1,0,0,0,0,0,0,0
1459,루트비커피 시청점,매장이 작지만 뷴위기가 좋아여,0,0,1,0,0,0,0,0,0,0,0
659,델픽,맛있는 차가 있고 전망도 좋아요,0,0,0,0,0,1,0,0,1,0,0
3700,라프레플루트,망고빙수 맛집중에 단연 최고의 맛 작년에 문닫고 이전해서 오픈할 동안에 몇계절을 기다리다 오픈하자마자 달려가서 망고빙수를 입 에 넣자 마자 사르르 녹아내렸다는 기다린 보람이 있었어요 감사합니다 재오픈 해주셔서,0,0,0,1,0,0,0,0,0,0,0
2161,카사레쵸,직접 끓여먹는 라면 가격 넘 비쌈,0,0,0,0,0,0,0,0,0,0,0
3808,성수동꽈배기 로고스타,꽈배기 맛있었고 사장님도 친절 했어요,1,0,0,1,0,0,0,0,0,0,0
2814,노보텔 앰배서더 서울동대문 더델리,빵 다 맛있고 가격도 안 비싸요,0,0,0,1,0,0,0,0,0,1,0
3576,마호가니 sfc점,음료도 맛있고 케익도 맛있어요,0,0,0,1,0,1,0,0,0,0,0
4096,망티커피 성수점,오전 조용히 있을 수 있어서 좋아요,0,0,0,0,0,0,0,0,0,0,1
3756,오버도즈도넛앤커피,대표메뉴인 크림뷔렐레를 먹어봄 맛은 있었지만 빵 자체가 쫄깃한 스타일은 아니고 다른 도넛 맛집 대비 평범해서 아쉬웠음 화장실이 공용인데 깨끗하지 않아서 관리가 제대로 되면 좋겠음,0,0,0,1,0,0,0,0,0,0,0
1209,진저그래스맨,사장님이 매우매우 친절하심 귀여운거 구경하는 재미도있음 선물용 구매라 맛은 모르겠지만 가격이 다소 비싸다고 생각들긴하지만 또 데코 생각하면 적당한 가격 같기도 하고 잘 모르겠음 그냥 선물용,1,0,0,0,0,0,0,0,0,0,0
2174,테르트르,어릴적 낙산오르던 기억 지금은 추억속으로 사라졌지만 멋진카페에서 바라보는 뷰 끝내줍니다 음료도 맛있구요 뷰맛집,0,0,0,0,0,1,0,0,1,0,0
834,씨앤코컴퍼니,상명대내에 위치하고 있어요,0,0,0,0,0,0,0,0,0,0,0
149,푸른 양귀비,박물관 같은 카페입니다 백년이넘은 건물에 이층은 전시되어있는 공간이 이색적이에요 커피도 드립커피고 다른 음료도 맛납니다 수성동계곡에서 마을버스타고 내려서 마시고 내려가면서 관광하기좋습니다,0,0,1,0,0,0,0,0,0,0,0
570,라포레,선물용으로 샀습니다 마카롱이 귀여워요,0,0,0,0,0,0,0,0,0,0,0
854,베이커스퍼센트,방문할때 빵이 많이 없어서 아쉬웠지만 맛있게 먹었습니다 가게가 작아서 화장실은 기대도 안했는데 개인적으로 사용하시는 화장실 있어서 깨끗하게 사용했습니다,0,0,0,1,1,0,0,0,0,0,0
1174,타이티 종로통인직영점,서촌 여행길 끝에 만난 맛있는 밀크티빙수,0,0,0,1,0,0,0,0,0,0,0
3230,르풀,정동길 분위기를 즐기기 딱 알맞은 곳이어서 한표 샌드위치나 음료도 괜찮지만 가격은 조금 높게 느껴집니다 저는 다른 음식보다는 여기 라자냐가 맛있었던 것 같습니다,0,0,1,0,0,1,0,0,0,0,0
1431,달인꽈배기,박스 소 원짜리인데도 이정도 사면 현금결제 해야한다고 하네요 나눠서 봉투에 담아달라고 하면 거부하고 맛은 좋으나 현금요구와 불친절에 점 답니다,0,0,0,0,0,0,0,0,0,0,0
3995,발렁스,인생 디저트집입니다 피스타시에 한입먹어보고 놀랐어요 진짜 감동의맛이라 다른디저트 하나 더 주문했는데 피스타시에보다는 제 취향이 아니였네요 피스타시에 평생만들어주세요,0,0,0,1,0,0,0,0,0,0,0
3381,계단집,사장님 완 전 좋으세요 너무 밝으시고 기분좋게 갔다가 더 기분좋게 나왔어요 또 갈게요 꼭 저희 커플 부산에서 왔다고 했는 데 기억하실지 모르겠어요 반짝 반짝,1,0,0,0,0,0,0,0,0,0,0
280,금옥당 인사점,가격대가 좀 있다고 생각했는데 정말 맛있었어요 딱 음료와 즐기기 좋은 간단한 디저트라고 생각해요 데이트하면서 간식 용이나 고급 선물용으로 완전 좋은듯,0,0,0,1,0,0,0,0,0,0,0
3497,르빵 명동성당점,금요일의 행복 퇴근하면서 들리는 르빵 빵값은 비싸지만 그 만큼 맛있어요,0,0,0,1,0,0,0,0,0,0,0
2478,우르르,가볍게 쉬어가기 좋았습니다,0,0,0,0,0,0,0,0,0,0,0
2083,라뚜셩트,인테리어가 너무 이뻐요 휘쏘가 진짜 찐하고 맛나네요 추가로 생크림케이크 구매했는데 그건 가격대비 평범했어요 특히 키위가 안익어서 아삭아삭,0,0,1,0,0,0,0,0,0,0,0
407,미라보쇼콜라,수제초콜릿 지나가다 구매 맛은 정성이 느껴지는 맛으로 다양한 선택지가 있고 다크계열이 꽤 있어서 취저 사장님 친절하시고 층에 좌석있음 다만 맞은편 맛집 주차장이 바로 옆인데 뭐든 탈거를 타고 가신다면 주차장 관리자 할아버지랑 실갱이 할 준비하시고 방문하시길,1,0,0,1,0,0,0,0,0,0,0
4226,고망고 건대점,지나갔다가 망고주스 원이라는 간판을 보고 궁금해서 들어갔는데 찐망고로 만든 거 아닌 것 같지만 착한 가격에다가 더운 여름날에 마셔서 그런지 맛있네요,0,0,0,0,0,1,0,0,0,1,0
739,어라운드 시소,길가다가 만난 어라운드시소 테라스가 있는걸 보고 바로 들어갔어요 시그니쳐메뉴인 쏠라슈와 바닐라라떼 초코라떼 아이스크림크 로플 주문 테라스 말고도 내외부에 다양한 자리가 있었어요 오늘 앉은 메인테라스도 좋았지만 층 테라스 바테이블도 좋아보였어요 가만히 앉아 있으니 바람도 솔솔불고 마음이 편안해졌습니다 쏠라슈는 쏠티라떼슈페너였던것 같아요 크림은 달달해서 맛있,0,1,1,0,0,0,0,0,0,0,0
2541,링링,케이크 예쁜데 맛있다고 해서 기대했지만 쏘쏘 비주얼이 참 좋았던 카페에요,0,0,0,0,0,0,0,0,0,0,0
3101,레드망고 서울신당점,늦게까지 커피마실 수있네요 떡볶이먹은후 디저트로,0,0,0,0,0,0,0,0,0,0,0
1170,타이티 종로통인직영점,평소에 가던곳이였으나 와이프가 임산부가 되어 멀리 나가지 못해 방문을 못하고 있었습니다 와이프가 보이차 빙수를 먹고싶어 하여 서 포장을 부탁드렸습니다 원래는 포장이 어려우나 사정을 듣고서 하나 하나 정성것 포장을 해주셨습니다 사장님의 친절함과 배려심 에 너무너무 감사드립니다 너무,1,0,0,0,0,0,0,0,0,0,0
421,카페베로나,아인슈페너도 맛있고 루프탑 전망도 좋아요,0,1,0,0,0,0,0,0,1,0,0
3312,PNB 풍년제과,생각날때마다 들리는 곳,0,0,0,0,0,0,0,0,0,0,0
710,로우루프,카페 안으로 들어가면 한옥이랍니다 야외도 있고 방안도 있어요 어디서 찍어도 사진 잘 나오고 음료와 디저트 모두 맛납니다,0,0,1,1,0,1,0,1,0,0,0
2178,테르트르,음료 값은 비쌌지만 멋진 뷰에서 맛잇는 커피 마셨어요 특히 초코 크럼블 완전 강츄에요,0,1,0,0,0,0,0,0,1,0,0
3111,블루제이커피스페이스,분위기가 좋아요 인테리어도 멋지고 시간 보내기 좋네요,0,0,1,0,0,0,0,0,0,0,0
2216,비나케이크,여자친구 생일에 딸기 케이크 호로 주문해서 같이 먹었는데 너무 맛있어요 생크림이 진짜 하나도 안느끼해서 원래 케이크 조각만 나눠먹어도 못먹는데 이건 세조각이나 먹었어요 다음에도 찾아갈거예요,0,0,0,1,0,0,0,0,0,0,0
1406,onground,일요일 더웠는데 잠깐 쉬었다가 기 좋았네요 사람들 많아서 입구 앞에 자리 잡았지만 바람이 살랑살랑 들어오는 게 좋았어요 그리고 남 사장님 자리 안내도 친절하게 해주시네요,1,0,0,0,0,0,0,0,0,0,0
641,카페레이어드 안국점,스콘 진짜 맛있어요 왜 스콘은 레이어드인지 알수있는 맛 종류별로 먹어보고있는데 다 맛있어요 빅토리아케익도 제가 먹어본 중에서 가장 맛있었습니다 아 그리고 산미있는 커피가 있어서 좋았고 커피도 맛있습니다 매장은 매우 협소하고 소란스러워서 대화하기엔 별로에요 카페가 디저트랑 커피 맛있으면 됐죠 뭐,0,1,0,1,0,0,0,0,0,0,0
1585,보로우커피,들어가자마자 분위기에 놀라고 커피맛에 놀라고 크로플 맛까지 번놀랬습니다 커피 완전 제스타일이고 크로플 왜이렇게 맛잇는거죠 그릇까지 먹을뻔 사진도 잘나오고 맛잇게 잘 먹고 즐거운 시간 보내다 왔어용,0,1,1,1,0,0,0,0,0,0,0
1441,포시즌스호텔서울 컨펙션바이포시즌스,망고케익 비싼만큼 맛있네요,0,0,0,1,0,0,0,0,0,0,0
1363,서촌금상고로케,유명하다고해서 찾아왔는데 역시 잘 왔어요 왜이렇게 맛있죠 치즈가 이렇게 많이 들어있는 고로케 처음 봤어요 밀가루를 잘 못 먹는데 감자만 들어간다니 감자고로케에 치즈 듬뿍 넣은 맛 서촌 오시면 꼭 와보세요 그리고 카레고추치즈는 도른맛 다들 꼭 드세요,0,0,0,1,0,0,0,0,0,0,0
3662,카페오미노,조용하고 넓고 좋아요,0,0,1,0,0,0,0,0,0,0,1
1131,쁘띠통,통밀 스콘 이 담백하게 맛있어요 빵들이 밀도있게 묵직함,0,0,0,1,0,0,0,0,0,0,0
85,통인동커피공방 위켄드,음료가 비싼 편이지만 가게가 예쁘고 분위기 좋아요,0,0,1,0,0,0,0,0,0,0,0
3325,서울로 PH,뷰가 너무 좋아요 각층마다 좌석 구성이 다른점도 좋습니다 가오픈 기간이라 그렇겠지만 정식 오픈하면 음식쪽은 보강이 필요해 보 이네요,0,0,0,0,0,0,0,0,1,0,0
3774,DYI WORKSHOP,분위기 좋고 커피와 티 둘 다 맛있어요,0,1,1,0,0,1,0,0,0,0,0
4266,히즈빈스 성수점,집중하기 좋고 콘센트가 있어서 노트북 작업도 가능한 곳 커피랑 음료 둘 다 너무 맛있었어요,0,1,0,0,0,1,0,0,0,0,1
189,카페꼼마 삼일빌딩점,분위기 좋고 커피는 맛있고,0,1,1,0,0,0,0,0,0,0,0
2540,링링,링링 너무예뻐서 눈 돌아갔어요 토요일에 갔는데 품절된 케이크가 많아서 는 못먹었지만 그래도 사랑해요,0,0,0,0,0,0,0,0,0,0,0
1371,라그린,샐러드가 싱싱했어요 특히 아보카도 상태가 너무 좋아서 먹으면서 행복했고 크랩마요도 진짜 맛있어서 눈물 좔좔 근데 음료가 퀄리티나 양에 비해 너무 비싼감이 있어요 다른 샐러드를 하나 더 시킬껄 굉장히 후회했네요 아쉽,0,0,0,1,0,0,0,0,0,0,0
1574,카페 수달,수달 인형을 갖고 있어서 꼭 데리고 오고 싶었던 카페 귀여울거라 생각은 했지만 생각보다 더 너무 귀여워서 입틀막하고 구경했습니다 한옥이라 인테리어도 예뻐서 사진도 잘 나오구 책까지 있어서 갬성 충만하게 되는 곳이였어요,0,0,1,0,0,0,0,1,0,0,0
1036,카페비비,창문이 커서 뷰가 좋고 루프탑도 있어요 음료 종류도 다양하고 커피 아니어도 맛있었어요 디저트는 조금 약간 딱딱한 느낌이어써요 주차장 있음,0,0,1,0,0,1,0,0,1,0,0
3858,누에종,예쁘다 도착하면 아마 오길 잘했다는 생각이 들것 종이물티슈 생분해성 빨대를 쓴다 매장 인테리어가 감각적임 핸드솦 새니타이져 템버린즈거 쓰는데 향 너무 좋음 사장님이 주문받으러 와주시는데 친절하시고 메뉴 설명도 해주심 준비된 메뉴 가져다주심,1,0,1,0,0,0,0,0,0,0,0
910,티하우스 레몬,서촌에서 붐빔없이 조용하고 집중하기 좋은 곳 디저트도 마시쪙 잔잔하게 음악들으면서 커피마시기도 노트북하기도 좋아요 분위기 굿,0,0,1,1,0,0,0,0,0,0,1
1487,갤러리더스퀘어,술을 잘 즐기는 편이 아니라 차가 나와서 좋았어요 음식도 맛있구 인테리어 이뻐서 너무 좋았어요,0,0,1,1,0,0,0,0,0,0,0
3846,카페본나,카페 본나에서만 맛볼수 있는 아르헨티나 대표 피자와 핸드드립으로 내려주는 중독 되는 아리차커피에 상큼한 맛 너무 좋아요,0,1,0,1,0,0,0,0,0,0,0
4405,시나본 서울숲점,맛있어요 산책하다가 커피한잔하기 좋아요,0,0,0,0,0,0,0,0,0,0,0
3425,수목티,커피 맛있고 복잡한 남대문에서 벗어난 편한 공간이네요,0,1,0,0,0,0,0,0,0,0,0
2816,노보텔 앰배서더 서울동대문 더델리,이번 크리스마스 케이크 실물이 별로라는 후기들 많이 봐서 걱정했는데 저는 여기서 성공했어요 부쉬드노엘 사진이랑 똑같고 맛도 좋 았습니다 가격도 호텔 케이크인데 합리적인 것 같아요 케이크 정말 만족스럽습니다,0,0,0,1,0,0,0,0,0,1,0
1228,주재근베이커리,에그타르트 갈릭바게트등 맛있어요,0,0,0,1,0,0,0,0,0,0,0
685,풍류관,음료는 맛있는데 가격대비 양이 적은건 좀 아쉬워요 디저트는 맛있습니당 공간은 분위기에 맞게 차분하고 잔잔한 느낌을 줘서좋았어요,0,0,0,0,0,1,0,0,0,0,1
4090,카페36.5 성수본점,옐로우 롱블랙 산미있는데 좋았어요 뷰가 좋네요 공부에 집중할 분은 층 편안한 대화는 지하 층으로,0,1,0,0,0,0,1,0,1,0,1
1692,뮤직컴플렉스 서울,분위기 좋고 좋아하는 음악도 맘껏 즐길수 있네요 볼륨 업,0,0,1,0,0,0,0,0,0,0,0
1316,서촌가배,서촌은 언제나 즐겁고도 행복한 동네에요 커피맛좋아요,0,1,0,0,0,0,0,0,0,0,0
1549,카페사사,조용하고 좋네요 테라스 좌석에서 여유롭게 즐기기 좋아요 과편이라고 우리나라 전통 디저트도 있는데 오미자 랑 유자맛이라 새콤달콤 너무 맛나요,0,0,1,1,0,1,0,0,0,0,0
2940,버터룸,비쥬얼 최고 딸기시트보단 쵸코가 더 맛있는거 같아요 분위기도 좋구 친절하시구 레터링케이크가게가 역근처에 있어 이용하기 넘 좋네요,1,0,0,1,0,0,0,0,0,0,0
2640,몽쥬 빠티세리,빵의 종류가 다양하지만 맛은 특별하진 않아요,0,0,0,0,0,0,0,0,0,0,0
898,커피브론즈,매번 테이크아웃만 하던 곳 드디어 먹어보고 갑니다 더치아메리카노 카푸치노,0,0,0,0,0,0,0,0,0,0,0
3741,마크69,저녁에 가니까 재료가 다 떨어져서 안된게 아쉬워씀당 분위기는 너무 좋아요,0,0,1,0,0,0,0,0,0,0,0
2880,제뉴어리피크닉,케익 디자인 너무 예쁘고 맛도 있어요 기념일 케이크 무조건 추천합니다,0,0,0,1,0,0,0,0,0,0,0
730,호텔세느장,호텔세느장 익선동 새로운 장소 발견 호텔였던듯 아인슈페너 달콤한 크림 아이스아메리카노 맛있다 까눌레 피칸 솔티드카 라멜 인테리어 사진 커피 디저트 맛집,0,1,0,1,0,0,0,1,0,0,0
612,카페 노티드 안국,구매 후 당일에 먹었는데도 빵피가 너무 빨리 굳더라구요 빵피가 아쉬웠지만 크림은 맛있었어요 하지만 웨이팅을 또 해야한다 고 생각하면 한번 먹어본걸로 만족할래요,0,0,0,0,0,0,0,0,0,0,0
1533,핸디크레프티,북촌에 있는 작은 카페인데요 주말에만 오픈하신다 하시던데 아무튼 너무 아늑한 장소였어요,0,0,1,0,0,0,0,0,0,0,0
580,보드레 안다미로,사장님 친절하시구 망고스무디 달고맛있어요 너무더워서 쉬려고간곳이었는데 층으루되어있었구 메뉴도많고 자리도많아서 좋았어요 피아노도있더라구요,1,0,1,0,0,1,0,0,0,0,0
4025,버터 팬트리,해초버터는 확실히 밥에 먹어봐야 맛을 알 것 같고 시즌으로 나온 가나슈버터가 진짜 너무너무 맛있었어요 위에 올려진 크런치들이랑 궁합 완전 최고,0,0,0,1,0,0,0,0,0,0,0
4320,어라운드데이,커피 맛있어요 분위기도 좋고 추천드려요,0,1,1,0,0,0,0,0,0,0,0
3638,카페캠프통,좌석간 공간이 넓어서 너무 좋아요 그리고 커피가 맛있어요 진짜,0,1,1,0,0,0,0,0,0,0,0
477,커피에반하다 종로도렴빌딩점 스마트카페,원두가 별로였는지 콩을 엄청 태웠더라고요 다 못 마시고 버렸습니다,0,0,0,0,0,0,0,0,0,0,0
445,내자땅콩,맛있어요 옛날과자치곤 좀 비싸요 제과점수준이네요,0,0,0,0,0,0,0,0,0,0,0
2314,카페키이로,조용히 케잌 클리어 하고 오기 좋은 곳,0,0,0,0,0,0,0,0,0,0,1
1737,종로3가 카페 솜붕아 본점,종로 가 찐 맛 집 꿀미니붕어빵 솜붕아라떼 솜사탕라떼를 먹었어요 지리산 벌집꿀을 사용해서 쫀득 달콤 했고 붕어빵은 겉은 바삭 속 은 촉촉달콤 했어요 종로 가역 번과 번 출구 사이에 있어서 위치도 좋고 심지어 가성비까지 좋았습니다 완전 추천해요 다음에 또 오겠습니다,0,1,0,1,0,0,0,0,0,1,0
3925,카페 할아버지공장,넓고 쾌적하고 분위기 좋았어요 얼그레이 밀크티 굿,0,0,1,0,0,1,0,0,0,0,0
2958,더홈서울,한옥이 너무 예뻐요 커피도 맛있습니다,0,1,1,0,0,0,0,0,0,0,0
4197,바나나토크,여자사장님 남자직원 불친절하고 테이블 위는 음식찌꺼기에 지저분 닦아달라하면 음식찌꺼기 붙은 행주로 닦아주고 감 다른 음식 찌꺼기 남기고 가심 아 더러워 바나나토크 전용주차장 주차하면 여자사장님이 차빼라고 전화하는곳 밥먹다 기분 잡침 피클 도 달라고해야 주는곳 사장님 바꼈나봐요 다시는 안갑니다 그리고 왕파리 좀 제발 매장 청소 안하시나봐요,0,0,0,0,0,0,0,0,0,0,0
683,풍류관,디저트 너무너무 맛있었어요,0,0,0,1,0,0,0,0,0,0,0
3207,덕수궁 리에제와플,해피박스 구매 블루베리 크림치즈는 갓 나온 상태에서 따뜻하게 먹었는데 블루베리가 냉동이 아니라 신선하고 너무 달지 않아서 맛있게 잘 먹었어용 줄이 있지만 금방 순서가 돌아오는편,0,0,0,0,0,0,0,0,0,0,0
464,와프,외국분이 서빙해 주시네요 독채를 쓰는 듯 우리집 거실에 있는 듯,0,0,0,0,0,0,0,0,0,0,0
1121,헤르만의정원,밀크티 괜찮고 예쁜 잔에 담겨 나옵니다 무가당으로 즐길 수도 있고 매장도 생각보다 넓직합니다 다만 매장안에 티의 종류가 많아서 밀크티도 차의 종류를 고를 수 있을 줄 알았는데 그건 아니었고요 무엇보다 평일 낮에 갔는데도 사람이 많아서 그런지 시간 이상 있었더니 직원분이 나가달라고 하더라고요 일행들과 함께와서 여유있게 즐기기에는 어려울 듯 합니다,0,0,1,0,0,1,0,0,0,0,0
2884,제뉴어리피크닉,디저트들이 어디선가 먹어본듯하지만 또 여기만의 느낌이 있어요 여자들이 좋아할 공간이에요,0,0,0,0,0,0,0,0,0,0,0
1079,도도앤틱카페,힐링하기 좋아요 직원 분도 친절하시고 인테리어 소품이 넘 예뻐요,1,0,1,0,0,0,0,0,0,0,0
1569,인덱스카라멜,솔트카라멜이 진짜 맛잇는듯 특이한 카라멜 맛도 많아서 기념일에 재밌었어요,0,0,0,0,0,1,0,0,0,0,0
3041,찜했당,한옥인데 예쁘게 꾸며서 분위기 좋아요 떡 케이크가 유명하고 음료도 맛있네요,0,0,1,0,0,1,0,0,0,0,0
2615,는커피,청구역 최고의 카페,0,0,0,0,0,0,0,0,0,0,0
927,알키미아 서촌본점,인테리어는 멋져요 눈길을 끌어 들어가게 되었지만 음료는 너무 실망스럽습니다 한잔에 천원하는 맥주는 김이 다 빠져서 밍밍했고 마른 안주라고 주신 피스타치오는 오래되어서 쩐내가 났습니다 휴,0,0,1,0,0,0,0,0,0,0,0
320,애즈라이크,베이컨 생연어 오픈 샌드위치 오렌지유자에이드 햇볕드는 창가에서 브런치 조합은 진리 서울여행와서 첫 식사였는데 두 메뉴 다 정말 너 무 맛있어서 행복했어요 다른 것도 먹어보고 싶어요,0,0,0,1,0,1,0,0,0,0,0
1238,여기인가,사장님 사모님 두분 다 너무 친절하시구요 까미 강아지도 너무 귀여워요 조용하니 대화하기도 편했어요,1,0,0,0,0,0,1,0,0,0,1
